"official_district";"district";"gender";"nationality";"age";"quantity"
"Mitte";"Gesundbrunnen";"m";"D";"60_65";"1345"
"Mitte";"Gesundbrunnen";"m";"D";"65_70";"1119"
"Mitte";"Gesundbrunnen";"m";"D";"70_75";"1132"
"Mitte";"Gesundbrunnen";"m";"D";"75_80";"654"
"Mitte";"Gesundbrunnen";"m";"D";"80_85";"355"
"Mitte";"Gesundbrunnen";"m";"D";"85_90";"179"
"Mitte";"Gesundbrunnen";"m";"D";"90_95";"63"
"Mitte";"Gesundbrunnen";"m";"D";"95 und älter";"14"
"Mitte";"Gesundbrunnen";"f";"A";"00_05";"508"
"Mitte";"Gesundbrunnen";"f";"A";"05_10";"406"
"Mitte";"Gesundbrunnen";"f";"A";"10_15";"650"
"Mitte";"Gesundbrunnen";"f";"A";"15_20";"914"
"Mitte";"Gesundbrunnen";"f";"A";"20_25";"1351"
"Mitte";"Gesundbrunnen";"f";"A";"25_30";"1545"
"Mitte";"Gesundbrunnen";"f";"A";"30_35";"1587"
"Mitte";"Gesundbrunnen";"f";"A";"35_40";"1443"
"Mitte";"Gesundbrunnen";"f";"A";"40_45";"1250"
"Mitte";"Gesundbrunnen";"f";"A";"45_50";"1064"
"Mitte";"Gesundbrunnen";"f";"A";"50_55";"701"
"Mitte";"Gesundbrunnen";"f";"A";"55_60";"549"
"Mitte";"Gesundbrunnen";"f";"A";"60_65";"620"
"Mitte";"Gesundbrunnen";"f";"A";"65_70";"513"
"Mitte";"Gesundbrunnen";"f";"A";"70_75";"322"
"Mitte";"Gesundbrunnen";"f";"A";"75_80";"160"
"Mitte";"Gesundbrunnen";"f";"A";"80_85";"72"
"Mitte";"Gesundbrunnen";"f";"A";"85_90";"26"
"Mitte";"Gesundbrunnen";"f";"A";"90_95";"7"
"Mitte";"Gesundbrunnen";"f";"D";"00_05";"2042"
"Mitte";"Gesundbrunnen";"f";"D";"05_10";"1808"
"Mitte";"Gesundbrunnen";"f";"D";"10_15";"1445"
"Mitte";"Gesundbrunnen";"f";"D";"15_20";"1383"
"Mitte";"Gesundbrunnen";"f";"D";"20_25";"2800"
"Mitte";"Gesundbrunnen";"f";"D";"25_30";"2729"
"Mitte";"Gesundbrunnen";"f";"D";"30_35";"2024"
"Mitte";"Gesundbrunnen";"f";"D";"35_40";"1358"
"Mitte";"Gesundbrunnen";"f";"D";"40_45";"1377"
"Mitte";"Gesundbrunnen";"f";"D";"45_50";"1642"
"Mitte";"Gesundbrunnen";"f";"D";"50_55";"1474"
"Mitte";"Gesundbrunnen";"f";"D";"55_60";"1270"
"Mitte";"Gesundbrunnen";"f";"D";"60_65";"1152"
"Mitte";"Gesundbrunnen";"f";"D";"65_70";"930"
"Mitte";"Gesundbrunnen";"f";"D";"70_75";"1313"
"Mitte";"Gesundbrunnen";"f";"D";"75_80";"1042"
"Mitte";"Gesundbrunnen";"f";"D";"80_85";"802"
"Mitte";"Gesundbrunnen";"f";"D";"85_90";"535"
"Mitte";"Gesundbrunnen";"f";"D";"90_95";"237"
"Mitte";"Gesundbrunnen";"f";"D";"95 und älter";"97"
"Friedrichshain-Kreuzberg";"Friedrichshain";"m";"A";"00_05";"166"
"Friedrichshain-Kreuzberg";"Friedrichshain";"m";"A";"05_10";"115"
"Friedrichshain-Kreuzberg";"Friedrichshain";"m";"A";"10_15";"158"
"Friedrichshain-Kreuzberg";"Friedrichshain";"m";"A";"15_20";"191"
"Friedrichshain-Kreuzberg";"Friedrichshain";"m";"A";"20_25";"839"
"Friedrichshain-Kreuzberg";"Friedrichshain";"m";"A";"25_30";"1723"
"Friedrichshain-Kreuzberg";"Friedrichshain";"m";"A";"30_35";"1600"
"Friedrichshain-Kreuzberg";"Friedrichshain";"m";"A";"35_40";"995"
"Friedrichshain-Kreuzberg";"Friedrichshain";"m";"A";"40_45";"738"
"Friedrichshain-Kreuzberg";"Friedrichshain";"m";"A";"45_50";"554"
